KT3D ESTIMATES WITH:  Irregular Spaced 29 primary and secondary data            
    0.759    40.726
    0.727    38.330
    0.732    36.032
    0.848    34.254
    0.946    32.854
    1.102    31.155
    1.243    28.386
    1.430    23.959
    1.810     0.000
    1.576    24.758
    1.757    31.028
    1.878    36.550
    1.846    40.610
    1.772    43.491
    1.302    44.564
    1.140    45.959
    1.081    48.562
    0.955    49.156
    0.812    47.453
    0.733    45.750
    0.680    43.233
    0.648    40.447
    0.636    38.151
    0.663    36.951
    0.457    37.506
    0.490    39.270
    0.517    41.657
    0.545    44.022
    0.724    46.558
    0.914    48.251
    1.239    53.308
    1.394    58.011
    1.622    68.172
    1.805    44.479
    1.879    43.448
    2.235    42.826
    1.941    43.447
    1.608    43.848
    1.528    44.607
    1.303    46.064
    1.304    46.536
    1.372    46.715
    1.434    46.920
    1.483    47.160
    1.490    47.493
    1.491    47.594
    1.459    47.417
    1.400    46.888
    1.323    45.974
    1.097    44.231
    0.834    42.770
    0.818    41.099
    0.837    39.398
    0.899    37.746
    1.020    35.929
    1.213    33.608
    1.367    30.551
    1.505    26.799
    1.619    24.479
    1.641    26.884
    2.041    33.246
    2.074    37.994
    1.487    39.220
    1.351    41.683
    1.179    43.502
    1.065    45.429
    0.890    45.879
    0.868    47.325
    0.768    46.475
    0.678    44.379
    0.606    41.102
    0.548    37.332
    0.536    33.623
    0.578    31.666
    0.429    32.764
    0.487    35.608
    0.544    38.835
    0.589    41.766
    0.750    44.605
    0.800    46.424
    0.891    47.361
    1.263    53.079
    1.396    57.225
    3.460    46.627
    3.216    43.468
    2.816    40.909
    2.000    40.411
    1.559    41.489
    1.434    42.659
    1.169    44.565
    1.167    45.191
    1.251    45.469
    1.339    45.866
    1.414    46.349
    1.461    46.862
    1.485    47.277
    1.473    47.452
    1.443    47.268
    1.326    46.264
    1.145    45.019
    1.114    44.049
    1.099    42.936
    0.964    41.724
    1.018    40.331
    1.116    38.557
    1.256    36.276
    1.411    33.690
    1.522    31.071
    1.549    29.619
    1.561    30.304
    1.552    33.314
    1.501    36.110
    1.405    38.621
    1.305    40.948
    1.118    42.673
    1.002    44.147
    0.845    45.211
    0.678    45.786
    0.718    45.835
    0.629    43.428
    0.549    39.415
    0.484    34.290
    0.460    28.634
    0.488    25.386
    0.586    27.762
    0.490    32.398
    0.562    36.633
    0.621    40.071
    0.779    43.073
    0.836    45.043
    0.890    46.362
    0.929    47.345
    0.956    48.123
    3.687    45.526
    3.431    41.353
    2.972    37.651
    2.072    36.531
    1.640    38.009
    1.432    39.762
    1.087    42.215
    1.062    43.073
    1.157    43.485
    1.250    44.181
    1.343    45.034
    1.420    45.908
    1.469    46.674
    1.412    46.729
    1.436    46.830
    1.306    46.086
    1.307    45.593
    1.304    44.945
    1.314    44.174
    1.330    43.315
    1.394    42.125
    1.295    40.615
    1.372    38.706
    1.411    36.609
    1.510    34.585
    1.444    32.949
    1.395    32.463
    1.525    33.440
    1.422    35.544
    1.335    37.319
    1.255    39.308
    1.106    40.884
    0.975    43.029
    0.805    44.557
    0.633    45.332
    0.665    45.441
    0.429    40.760
    0.505    38.625
    0.433    32.939
    0.390    25.984
    0.190     0.000
    0.536    25.034
    0.532    30.789
    0.644    35.277
    0.746    38.638
    0.922    41.393
    0.998    43.253
    1.082    44.585
    0.987    46.089
    0.999    47.140
    3.735    42.095
    3.372    36.012
    2.894    32.071
    1.907    32.376
    1.590    34.430
    1.419    36.430
    1.099    38.758
    1.042    39.806
    1.113    40.593
    1.175    41.866
    1.262    43.294
    1.289    44.279
    1.380    45.387
    1.459    46.170
    1.542    46.477
    1.610    46.381
    1.514    45.575
    1.542    45.090
    1.566    44.570
    1.583    44.001
    1.644    43.089
    1.734    41.901
    1.487    40.431
    1.456    38.667
    1.415    36.650
    1.321    34.638
    1.249    33.128
    1.349    32.737
    1.245    33.695
    1.253    34.597
    1.187    36.878
    1.042    39.233
    0.943    41.480
    0.704    43.031
    0.559    43.681
    0.501    42.681
    0.470    40.947
    0.415    37.438
    0.374    32.875
    0.365    27.924
    0.395    25.018
    0.508    27.259
    0.673    31.271
    0.628    35.007
    1.172    40.139
    1.328    44.148
    1.408    45.819
    1.525    49.254
    1.683    55.902
    1.359    46.584
    5.268    63.449
    4.429    42.984
    3.686    31.259
    2.691    27.193
    1.781    30.108
    1.486    32.632
    1.161    34.552
    1.064    35.578
    1.079    36.912
    1.055    38.718
    1.149    40.826
    1.274    42.771
    1.408    44.320
    1.528    45.345
    1.671    45.729
    1.796    45.649
    1.754    44.859
    1.811    44.412
    1.856    44.002
    1.878    43.657
    1.926    43.096
    2.018    42.340
    1.998    41.366
    1.553    39.814
    1.407    37.669
    1.226    35.050
    1.051    32.336
    0.963    30.144
    0.887    29.531
    0.824    31.227
    0.817    34.299
    0.780    37.568
    0.781    40.492
    0.694    42.339
    0.590    43.212
    0.535    42.733
    0.516    41.852
    0.479    39.129
    0.466    35.697
    0.463    32.489
    0.494    30.806
    0.538    31.457
    0.646    33.335
    0.624    35.268
    1.646    37.164
    2.063    39.212
    1.725    53.652
    1.902    62.740
    2.114    78.721
    1.740    55.703
    5.081    55.543
    4.085    33.505
    2.550     0.000
    2.582    23.235
    1.677    27.693
    1.417    29.613
    1.200    30.079
    0.992    30.619
    0.942    32.549
    0.993    35.520
    1.076    38.449
    1.230    41.062
    1.398    43.024
    1.575    44.189
    1.766    44.495
    1.944    44.203
    2.124    43.490
    2.163    42.641
    2.226    42.268
    2.274    42.109
    2.291    42.064
    2.246    41.953
    2.116    41.422
    1.599    40.109
    1.352    37.861
    1.090    34.788
    0.859    30.981
    0.594    26.835
    0.570    24.501
    0.553    27.279
    0.589    31.884
    0.664    36.106
    0.675    39.567
    0.644    42.055
    0.604    43.311
    0.560    43.353
    0.478    42.486
    0.524    41.006
    0.522    38.942
    0.497    36.835
    0.491    35.569
    0.510    35.327
    0.586    35.576
    0.664    35.530
    1.728    35.760
    2.193    36.785
    2.572    38.617
    2.984    42.360
    2.251    82.955
    1.891    59.377
    4.499    43.575
    3.752    29.936
    3.285    23.945
    2.893    23.933
    1.901    25.822
    1.581    26.531
    1.289    25.321
    1.015    24.576
    0.868    27.827
    0.914    32.450
    1.056    36.539
    1.236    39.757
    1.443    41.978
    1.683    43.129
    1.956    43.143
    2.213    42.344
    2.448    41.115
    2.597    40.067
    2.593    39.510
    2.592    39.708
    2.537    40.271
    2.410    40.825
    2.177    40.888
    1.651    39.997
    1.365    38.014
    1.046    34.817
    0.585    30.549
    0.411    24.845
    0.280     0.000
    0.396    24.959
    0.435    30.875
    0.551    35.596
    0.624    39.340
    0.622    42.106
    0.639    43.502
    0.596    44.086
    0.525    43.780
    0.565    43.103
    0.545    41.588
    0.520    40.402
    0.503    39.226
    0.513    38.326
    0.553    37.385
    0.678    35.820
    1.783    33.776
    2.188    32.877
    2.565    33.690
    2.956    37.518
    3.287    43.134
    2.432    40.880
    4.639    45.174
    3.936    32.323
    3.584    26.948
    3.188    24.867
    2.013    24.883
    1.655    24.883
    1.348    22.511
    0.710     0.000
    0.843    24.880
    0.889    30.789
    1.040    35.419
    1.237    38.867
    1.484    41.076
    1.781    42.007
    2.155    41.531
    2.528    40.031
    2.849    38.053
    3.020    36.388
    3.077    35.709
    2.957    36.264
    2.749    37.759
    2.479    39.281
    2.185    40.149
    1.689    39.899
    1.236    38.638
    0.905    36.042
    0.524    32.099
    0.347    27.686
    0.294    25.100
    0.308    27.731
    0.342    32.273
    0.461    36.419
    0.631    39.799
    0.640    42.261
    0.674    43.976
    0.652    44.791
    0.587    44.889
    0.528    44.428
    1.351    43.464
    0.532    42.826
    0.515    41.981
    0.526    40.583
    0.570    38.694
    0.701    35.776
    1.793    31.708
    2.174    28.453
    2.561    27.550
    2.944    32.518
    3.257    39.746
    2.352    39.048
    4.739    46.528
    4.175    34.442
    3.916    27.895
    3.609    24.204
    2.288    23.214
    1.824    24.443
    1.437    23.730
    1.062    23.165
    0.866    26.341
    0.894    30.912
    1.038    35.051
    1.232    38.269
    1.527    40.209
    1.882    40.786
    2.395    39.741
    2.869    37.594
    3.272    34.746
    3.457    32.012
    3.510    30.794
    3.381    32.124
    2.947    34.840
    2.596    37.584
    2.254    39.422
    1.441    40.347
    1.165    39.991
    0.930    38.179
    0.489    35.110
    0.331    32.443
    0.295    31.192
    0.318    32.448
    0.393    35.236
    0.487    38.301
    0.599    40.936
    0.781    43.035
    1.353    44.222
    1.381    44.936
    1.377    45.353
    1.333    45.221
    1.429    45.016
    1.373    44.161
    1.320    43.252
    1.341    41.965
    1.473    40.095
    1.416    36.115
    1.599    30.813
    1.700    24.897
    1.660     0.000
    2.092    25.783
    2.199    32.283
    2.008    37.190
    3.104    34.570
    3.007    29.710
    3.028    23.951
    3.610     0.000
    2.267    22.737
    1.881    25.175
    1.511    25.884
    1.151    26.538
    0.927    28.525
    0.916    31.561
    1.005    34.856
    1.174    37.657
    1.491    39.315
    1.911    39.574
    2.512    38.211
    3.084    35.598
    3.554    31.849
    3.820    27.422
    3.895    24.857
    3.631    27.582
    3.173    32.388
    2.733    36.599
    0.966    40.538
    1.116    42.031
    1.020    42.313
    0.693    40.024
    0.491    38.370
    0.348    36.853
    0.324    36.169
    0.373    36.764
    0.412    38.462
    0.467    40.535
    0.697    42.426
    0.753    44.031
    1.375    44.957
    1.408    45.623
    1.448    46.062
    1.377    46.190
    1.328    45.844
    1.436    45.624
    1.383    44.682
    1.342    43.212
    1.558    41.786
    1.455    37.859
    1.525    33.182
    1.544    28.520
    1.648    25.463
    1.871    27.728
    1.432    32.767
    1.466    37.274
    3.016    36.259
    2.879    31.814
    2.892    27.037
    2.829    23.857
    2.265    25.092
    1.921    26.442
    1.609    26.927
    1.283    27.484
    1.042    28.918
    0.959    31.249
    0.986    33.988
    1.108    36.475
    1.419    37.986
    1.860    38.199
    2.509    36.862
    3.134    34.271
    3.623    30.223
    3.943    24.636
    4.920     0.000
    3.674    25.090
    3.142    31.523
    0.865    39.150
    0.827    42.092
    0.388    43.606
    1.107    44.545
    0.683    42.072
    0.493    41.279
    0.363    40.457
    0.401    40.115
    0.403    40.310
    0.432    41.319
    0.605    42.676
    0.704    43.843
    0.751    44.943
    1.408    45.535
    1.482    46.224
    1.495    46.503
    1.450    46.689
    1.377    46.554
    1.504    46.553
    1.460    45.741
    1.599    44.845
    1.561    42.890
    1.650    40.130
    1.512    36.939
    1.517    33.967
    1.611    32.025
    1.820    32.499
    1.914    35.557
    2.024    38.847
    2.633    38.483
    2.651    35.098
    2.662    31.368
    2.577    28.847
    2.207    27.981
    1.938    27.302
    1.638    26.426
    1.311    26.131
    1.085    27.186
    0.942    29.380
    0.914    32.048
    0.995    34.558
    1.291    36.146
    1.736    36.537
    2.393    35.615
    3.038    33.706
    3.519    30.599
    3.803    26.664
    3.874    24.439
    3.539    27.442
    1.490    34.669
    0.797    40.047
    0.523    43.695
    0.903    45.834
    0.543    45.844
    0.690    43.784
    0.509    43.463
    0.474    43.169
    0.394    42.977
    0.442    42.948
    0.614    43.549
    0.644    44.346
    0.723    45.026
    1.393    45.440
    1.468    46.150
    1.493    46.564
    1.509    46.774
    1.477    46.934
    1.446    46.854
    1.561    47.088
    1.527    46.459
    1.680    45.891
    1.663    44.186
    1.540    42.566
    1.551    40.156
    1.556    38.182
    1.640    36.968
    1.829    37.138
    1.926    38.775
    2.061    41.015
    2.830    40.752
    2.644    37.172
    2.650    34.194
    2.569    31.609
    2.335    29.471
    1.969    27.204
    1.636    24.372
    1.284    22.389
    1.019    23.627
    0.821    26.058
    0.765    29.008
    0.849    31.911
    1.110    33.823
    1.516    34.486
    2.114    34.101
    2.704    33.125
    3.130    31.554
    3.403    29.944
    4.104    29.863
    2.747    31.683
    1.444    36.855
    0.887    41.069
    0.444    44.921
    0.857    47.014
    0.886    44.781
    0.682    45.099
    0.520    45.070
    0.452    45.055
    0.435    44.936
    0.605    44.893
    0.664    45.099
    0.740    45.375
    0.784    45.782
    1.495    46.020
    1.522    46.353
    1.524    46.643
    1.496    46.902
    1.481    46.985
    1.466    46.967
    1.620    47.300
    1.762    47.464
    1.731    46.692
    1.727    45.356
    1.495    44.213
    1.581    42.808
    1.601    41.315
    1.671    40.264
    1.847    40.212
    1.956    41.344
    2.081    42.858
    2.798    42.166
    2.773    38.999
    2.631    35.839
    2.544    32.997
    2.283    30.114
    1.964    26.869
    1.569    22.554
    1.010     0.000
    0.856    20.100
    0.613    21.841
    0.562    25.373
    0.645    29.053
    0.865    31.238
    1.223    31.936
    1.727    31.902
    2.263    31.864
    2.655    31.939
    2.948    32.242
    3.370    33.213
    2.532    35.093
    1.335    39.199
    0.877    42.860
    0.434    45.829
    0.591    46.808
    1.013    46.046
    0.691    45.927
    0.646    46.098
    0.498    46.186
    0.491    46.122
    0.721    46.051
    0.770    45.888
    1.663    45.825
    1.707    45.995
    1.730    46.221
    1.717    46.531
    1.568    46.530
    1.506    46.848
    0.925    47.364
    0.904    47.362
    1.126    47.702
    1.007    47.443
    1.794    47.023
    1.801    45.962
    1.555    45.207
    1.639    44.287
    1.654    43.135
    1.707    42.656
    1.859    42.188
    1.957    42.685
    2.074    43.946
    2.622    42.633
    2.747    39.723
    2.668    36.674
    2.477    33.274
    2.301    30.021
    1.939    26.720
    1.491    23.405
    1.078    20.809
    0.702    19.811
    0.170     0.000
    0.358    22.975
    0.431    26.968
    0.625    28.662
    0.959    28.718
    1.306    28.586
    1.762    29.578
    2.142    31.421
    2.447    33.415
    2.690    35.402
    2.179    37.663
    1.368    41.369
    0.855    43.932
    0.409    46.558
    0.648    48.131
    1.022    46.567
    0.881    46.606
    0.776    46.526
    0.741    46.495
    0.793    46.796
    0.888    46.502
    1.706    46.128
    1.795    45.909
    1.820    45.976
    1.826    46.079
    1.790    46.281
    1.373    46.730
    1.062    47.104
    0.949    47.234
    1.143    47.797
    1.158    47.712
    1.203    47.462
    1.251    47.003
    1.370    46.279
    1.585    45.749
    1.595    44.603
    1.680    43.897
    1.712    43.429
    1.771    42.961
    1.838    43.051
    1.904    43.612
    2.487    42.943
    2.600    39.920
    2.518    36.514
    2.422    32.628
    2.181    28.726
    1.834    25.705
    1.396    24.094
    1.002    23.319
    0.643    22.611
    0.379    22.258
    0.272    24.366
    0.286    26.442
    0.405    26.609
    0.645    24.973
    0.915    23.739
    1.339    26.307
    1.700    30.290
    2.008    33.852
    1.943    36.843
    1.698    39.700
    1.099    43.038
    0.960    45.545
    0.666    47.746
    1.009    46.447
    0.916    46.937
    1.296    47.339
    0.952    46.895
    0.959    46.824
    0.885    46.910
    1.788    46.575
    1.794    46.164
    1.869    45.925
    1.873    45.946
    1.852    45.981
    1.603    46.382
    1.316    46.607
    1.207    47.422
    1.090    47.513
    1.056    47.532
    1.115    47.471
    1.250    47.244
    1.372    46.810
    1.656    46.074
    1.591    45.536
    1.760    44.343
    1.704    43.949
    1.692    42.929
    1.669    42.359
    1.703    42.185
    1.713    42.667
    2.368    42.901
    2.416    39.739
    2.317    35.902
    2.229    31.227
    2.090    26.163
    1.816    22.628
    1.374    23.096
    1.008    24.561
    0.698    25.466
    0.485    26.064
    0.364    26.767
    0.315    26.865
    0.362    25.459
    0.447    22.244
    0.330     0.000
    0.965    23.950
    1.310    29.663
    1.618    34.236
    1.334    38.052
    1.273    41.107
    0.990    43.860
    0.902    45.881
    0.678    47.606
    1.176    46.748
    1.155    46.830
    1.339    47.233
    1.384    47.138
    1.788    46.312
    1.786    46.321
    1.881    46.291
    1.907    46.184
    1.919    45.804
    1.879    45.850
    1.853    46.049
    1.521    46.181
    1.411    46.742
    1.063    46.972
    0.922    46.985
    0.891    46.956
    0.973    46.900
    1.154    46.689
    1.360    46.274
    1.570    45.574
    1.582    45.039
    1.777    44.037
    1.899    42.435
    1.971    41.359
    1.590    40.283
    1.611    39.861
    1.621    40.382
    2.028    43.504
    2.059    39.897
    1.949    35.652
    1.893    30.313
    1.807    23.996
    2.340     0.000
    1.344    21.754
    1.039    25.003
    0.815    27.126
    0.687    28.257
    0.598    28.383
    0.535    27.278
    0.481    24.941
    0.487    22.268
    0.562    21.529
    0.800    25.142
    1.049    30.371
    1.303    35.075
    0.854    39.201
    0.920    42.113
    0.787    44.491
    1.050    45.429
    1.210    46.300
    1.326    46.481
    1.233    46.436
    1.448    46.741
    2.249    46.470
    2.033    46.543
    1.830    46.532
    1.997    46.361
    1.833    46.027
    1.818    45.964
    1.848    46.371
    1.651    46.266
    1.301    46.239
    1.102    46.235
    0.820    46.133
    0.692    45.934
    0.652    45.839
    0.744    45.803
    0.926    45.685
    1.171    45.367
    1.426    44.735
    1.509    44.471
    1.626    42.806
    1.708    40.690
    1.802    38.799
    1.860    36.905
    1.516    36.172
    1.550    36.876
    1.843    43.832
    1.794    40.315
    1.566    35.757
    1.548    30.651
    1.521    25.199
    1.438    21.469
    1.214    22.224
    1.075    24.982
    1.022    27.659
    1.006    29.164
    0.966    29.072
    0.882    27.221
    0.780    23.923
    0.701    21.312
    0.726    22.869
    0.839    27.001
    0.961    31.803
    1.136    36.161
    0.642    40.173
    0.673    42.898
    1.200    43.980
    1.009    45.100
    1.188    45.757
    1.314    45.892
    1.335    45.928
    1.333    46.471
    2.306    46.382
    2.514    46.635
    2.432    46.798
    2.297    46.741
    2.270    46.644
    2.123    46.525
    1.542    46.142
    1.334    45.813
    1.033    45.441
    0.724    45.383
    0.517    44.680
    0.392    44.200
    0.339    44.017
    0.430    44.030
    0.652    44.054
    0.882    44.034
    1.028    44.219
    1.177    43.147
    1.324    41.342
    1.369    38.656
    1.365    35.459
    1.577    32.611
    1.634    31.261
    1.429    32.505
    1.524    43.742
    1.445    40.687
    1.378    36.781
    1.351    32.060
    1.290    27.100
    1.183    22.898
    1.075    21.334
    1.183    23.922
    1.355    27.289
    1.473    29.216
    1.488    29.241
    1.404    27.221
    1.228    23.146
    0.840     0.000
    1.028    23.381
    1.036    28.721
    1.038    33.431
    0.530    37.662
    0.527    40.843
    1.022    42.385
    1.135    43.500
    1.160    44.178
    1.352    44.309
    1.516    44.426
    1.695    44.895
    1.980    45.509
    2.717    45.727
    2.801    46.436
    2.614    46.827
    2.233    46.477
    2.030    46.403
    1.790    46.156
    1.241    45.980
    0.949    45.450
    0.616    44.787
    0.330    43.870
    0.030    42.975
   -0.098    42.086
   -0.128    41.679
   -0.006    41.742
    0.369    41.781
    0.706    42.390
    0.899    42.504
    1.061    41.672
    1.224    39.789
    1.213    36.706
    1.241    32.481
    1.381    27.890
    1.422    25.161
    1.563    27.794
    1.419    44.351
    1.351    41.671
    1.317    38.154
    1.306    33.820
    1.274    28.855
    1.177    23.384
    0.110     0.000
    1.514    22.855
    1.914    26.728
    2.178    28.805
    2.231    29.211
    2.121    27.991
    1.891    25.538
    1.652    24.085
    1.456    26.919
    1.328    31.310
    0.554    35.796
    0.514    38.914
    0.472    41.231
    1.010    41.910
    1.113    42.375
    1.221    42.432
    1.440    42.316
    1.728    42.521
    2.161    43.308
    2.291    44.074
    3.141    44.849
    2.927    45.605
    2.717    46.071
    2.213    45.817
    1.841    45.743
    1.541    45.336
    1.004    44.919
    0.685    44.103
    0.447    42.897
    0.101    41.570
   -0.164    39.974
   -0.342    38.538
   -0.318    37.739
   -0.256    38.142
    0.190    38.823
    0.428    40.214
    0.780    40.648
    0.977    40.279
    1.105    38.659
    1.080    35.716
    1.146    31.099
    1.305    25.183
    0.940     0.000
    1.569    25.300
    1.346    45.127
    1.306    42.886
    1.327    39.840
    1.389    35.983
    1.461    31.471
    1.544    26.730
    1.773    23.551
    2.297    24.476
    2.778    26.551
    3.105    28.041
    3.184    28.859
    2.996    29.011
    2.623    28.801
    2.248    29.263
    1.913    31.363
    0.691    35.439
    0.473    38.290
    0.372    40.305
    0.823    40.783
    0.936    41.004
    1.090    40.646
    1.263    39.905
    1.589    39.548
    2.103    39.949
    2.316    41.012
    3.127    42.309
    3.030    43.628
    2.761    44.713
    2.590    45.224
    2.036    44.948
    1.513    44.850
    1.277    44.091
    0.824    43.259
    0.655    41.918
    0.447    40.310
    0.052    38.580
   -0.202    36.190
   -0.397    33.793
   -0.509    32.656
   -0.253    33.285
    0.389    34.860
    0.705    37.127
    1.026    38.507
    1.274    38.853
    1.228    38.052
    1.059    35.924
    1.086    32.193
    1.207    27.870
    1.165    25.287
    1.414    28.183
    1.343    45.840
    1.337    44.055
    1.414    41.568
    1.560    38.385
    1.767    34.670
    2.045    30.955
    2.528    28.006
    3.262    26.485
    3.925    26.102
    4.330    26.464
    4.446    28.005
    4.090    29.582
    3.482    30.920
    2.912    32.540
    1.857    34.933
    0.843    38.383
    0.511    40.208
   -0.384    40.845
    0.443    40.567
    0.580    39.645
    1.159    38.400
    1.159    36.793
    1.780    35.851
    2.509    36.375
    2.840    38.093
    3.503    40.142
    3.384    41.959
    3.102    43.250
    2.627    43.975
    1.977    43.670
    1.362    43.344
    1.127    42.156
    0.931    40.610
    1.397    38.130
    2.740    35.535
    2.429    33.408
    2.155    30.479
    1.725    26.879
    0.783    24.845
   -0.433    28.177
    0.147    31.367
    0.597    34.360
    1.076    36.639
    1.377    37.844
    1.386    37.934
    1.165    36.904
    1.058    34.842
    1.115    32.658
    1.159    32.045
    1.199    33.474
    1.381    46.486
    1.414    45.113
    1.547    43.149
    1.773    40.592
    2.091    37.566
    2.516    34.337
    3.141    31.006
    4.022    27.683
    4.873    24.679
    5.414    23.150
    5.409    25.940
    4.900    29.557
    4.145    32.226
    3.473    34.503
    2.367    36.792
    1.135    39.779
    0.545    41.241
   -0.562    40.473
    0.480    39.666
    0.576    37.854
    0.967    35.124
    1.149    32.452
    1.748    30.937
    2.709    32.172
    3.325    34.952
    3.505    37.993
    3.412    40.443
    3.094    42.001
    2.495    42.794
    1.962    42.155
    1.351    41.270
    1.077    39.435
    0.999    37.117
    1.976    34.055
    3.699    32.369
    3.677    30.688
    3.582    28.049
    2.971    23.624
    0.570     0.000
   -0.139    24.016
    0.372    28.177
    0.822    31.699
    1.356    34.708
    1.640    36.890
    1.791    37.969
    1.564    38.085
    1.369    37.496
    1.588    37.236
    1.571    36.948
    1.556    37.911
    1.442    47.032
    1.508    46.009
    1.696    44.445
    1.988    42.370
    2.367    39.880
    2.875    36.891
    3.668    33.019
    4.606    28.823
    5.572    23.929
    8.030     0.000
    6.122    24.967
    5.387    29.908
    4.593    33.289
    4.227    35.801
    2.970    37.408
    1.470    39.733
    0.007    39.861
   -0.758    39.712
    0.445    37.865
    0.519    35.327
    0.815    31.671
    1.015    27.462
    1.728    24.923
    2.708    27.460
    3.273    32.045
    3.513    36.155
    3.484    39.196
    3.374    40.880
    2.585    41.518
    1.840    40.672
    1.223    39.080
    0.919    36.318
    0.883    32.975
    1.947    29.581
    4.152    28.826
    6.224    31.053
    6.716    30.878
    6.192    27.743
    4.877    23.776
    2.758    22.828
    1.243    25.510
    1.235    29.071
    1.792    32.787
    1.999    35.988
    2.206    38.097
    2.026    39.208
    2.016    39.991
    2.120    40.434
    2.187    40.520
    2.138    41.262
    1.510    47.473
    1.597    46.726
    1.805    45.549
    2.133    43.865
    2.560    41.710
    3.120    38.930
    3.922    35.250
    4.845    31.292
    6.296    27.187
    7.028    25.031
    7.559    28.243
    6.878    31.888
    7.660    35.455
    5.966    36.704
    3.785    37.585
    1.513    38.256
    0.373    38.166
   -0.587    37.570
   -0.628    35.740
    0.499    32.843
    0.771    28.986
    1.018    23.901
    1.210     0.000
    2.987    24.517
    3.731    30.562
    3.967    35.272
    3.897    38.544
    3.598    40.239
    2.407    40.705
    1.518    39.576
    0.938    37.253
    0.626    33.409
    0.715    28.387
    2.009    23.992
    4.804    25.308
    7.095    29.710
    7.661    30.448
    7.209    28.846
    5.949    25.811
    3.433    22.304
    1.707    22.456
    1.700    26.228
    2.301    31.114
